Application Name;Application Version;Application Publisher;Application Uninstall
Package de pilotes Windows - Intel (NETwNs64) net  (07/16/2015 18.12.0.3);07/16/2015 18.12.0.3;Intel;"""C:\PROGRA~1\DIFX\873032~1\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\netwsw02.inf_amd64_neutral_c1b94f246dc6fda4\netwsw02.inf"
Package de pilotes Windows - Intel (Serial) Ports  (09/22/2011 7.1.21.1134);09/22/2011 7.1.21.1134;Intel;"""C:\PROGRA~1\DIFX\8730326CFC0D32D8\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\mesrle.inf_amd64_neutral_0899484a86551e82\mesrle.inf"
Package de pilotes Windows - Intel Corporation (igfx) Display  (01/29/2014 10.18.10.3412);01/29/2014 10.18.10.3412;Intel Corporation;"""C:\PROGRA~1\DIFX\8730326CFC0D32D8\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\kit58942.inf_amd64_neutral_9bed2a7e37663519\kit58942.inf"
Package de pilotes Windows - Intel Corporation (igfx) Display  (10/01/2015 20.19.15.4300);10/01/2015 20.19.15.4300;Intel Corporation;"""C:\PROGRA~1\DIFX\8730326CFC0D32D8\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\ki111220.inf_amd64_neutral_cbbd8ffdd4933830\ki111220.inf"
Package de pilotes Windows - Intel Corporation (igfx) Display  (10/01/2015 20.19.15.4300);10/01/2015 20.19.15.4300;Intel Corporation;"""C:\PROGRA~1\DIFX\873032~1\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\ki111220.inf_amd64_neutral_cbbd8ffdd4933830\ki111220.inf"
Package de pilotes Windows - Intel System  (03/16/2011 9.2.3.1013);03/16/2011 9.2.3.1013;Intel;"""C:\PROGRA~1\DIFX\8730326CFC0D32D8\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\pathaud.inf_amd64_neutral_040908893a703763\pathaud.inf"
Package de pilotes Windows - Intel System  (03/16/2011 9.2.3.1013);03/16/2011 9.2.3.1013;Intel;"""C:\PROGRA~1\DIFX\8730326CFC0D32D8\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\patsmb.inf_amd64_neutral_ee3ae3888f03e9c9\patsmb.inf"
Package de pilotes Windows - Intel System  (06/08/2011 9.2.3.1016);06/08/2011 9.2.3.1016;Intel;"""C:\PROGRA~1\DIFX\8730326CFC0D32D8\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\patcore.inf_amd64_neutral_1d2850f6b3cb3273\patcore.inf"
Package de pilotes Windows - Intel System  (07/19/2011 9.2.3.1018);07/19/2011 9.2.3.1018;Intel;"""C:\PROGRA~1\DIFX\8730326CFC0D32D8\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\jaketown.inf_amd64_neutral_96e3f44e6ff5e134\jaketown.inf"
Package de pilotes Windows - Intel USB  (03/16/2011 9.2.3.1013);03/16/2011 9.2.3.1013;Intel;"""C:\PROGRA~1\DIFX\8730326CFC0D32D8\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\patusb.inf_amd64_neutral_6805f327201da12a\patusb.inf"
Package de pilotes Windows - Intel(R) Corporation (IntcDAud) MEDIA  (08/20/2015 6.16.00.3182);08/20/2015 6.16.00.3182;Intel(R) Corporation;"""C:\PROGRA~1\DIFX\8730326CFC0D32D8\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\intcdaud.inf_amd64_neutral_ebcdb9f1743706a3\intcdaud.inf"
Package de pilotes Windows - Intel(R) Corporation (IntcDAud) MEDIA  (08/20/2015 6.16.00.3182);08/20/2015 6.16.00.3182;Intel(R) Corporation;"""C:\PROGRA~1\DIFX\873032~1\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\intcdaud.inf_amd64_neutral_ebcdb9f1743706a3\intcdaud.inf"
Package de pilotes Windows - Intel(R) Corporation (iusb3xhc) USB  (09/25/2015 4.0.2.42);09/25/2015 4.0.2.42;Intel(R) Corporation;"""C:\PROGRA~1\DIFX\8730326CFC0D32D8\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\iusb3xhc.inf_amd64_neutral_8bf6690c084664e6\iusb3xhc.inf"
Package de pilotes Windows - Intel(R) Corporation (iusb3xhc) USB  (09/25/2015 4.0.2.42);09/25/2015 4.0.2.42;Intel(R) Corporation;"""C:\PROGRA~1\DIFX\873032~1\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\iusb3xhc.inf_amd64_neutral_8bf6690c084664e6\iusb3xhc.inf"
Package de pilotes Windows - IntroMedic. (http://www.intromedic.com) (MiroCam_64) IntroMedic USB Device  (01/18/2012 1.2.6.0);01/18/2012 1.2.6.0;IntroMedic. (http://www.intromedic.com);"""C:\PROGRA~1\DIFX\D2F6754B58FD412B\DPInst-amd64.exe"" /u C:\windows\System32\DriverStore\FileRepository\mirocam_64.inf_amd64_04c2029b09b092df\mirocam_64.inf"
Package de pilotes Windows - IntroMedic. (http://www.intromedic.com) (MiroCam_64) IntroMedic USB Device  (01/18/2012 1.2.6.0);01/18/2012 1.2.6.0;IntroMedic. (http://www.intromedic.com);"""C:\PROGRA~1\DIFX\D2F6754B58FD412B\DPInst-amd64.exe"" /u C:\windows\System32\DriverStore\FileRepository\mirocam_64.inf_amd64_64754d963810cb6a\mirocam_64.inf"
Package de pilotes Windows - Lexmark International Printer  (01/26/2016 3.0.0.0);01/26/2016 3.0.0.0;Lexmark International;rundll32.exe C:\PROGRA~1\DIFX\4CBAA680AB78144E\DIFxAppA.dll, DIFxARPUninstallDriverPackage C:\windows\System32\DriverStore\FileRepository\lmu03o40.inf_amd64_neutral_893227f0862c2561\lmu03o40.inf
Package de pilotes Windows - Lexmark International Printer  (01/28/2016 3.0.0.0);01/28/2016 3.0.0.0;Lexmark International;rundll32.exe C:\PROGRA~1\DIFX\4CBAA680AB78144E\DIFxAppA.dll, DIFxARPUninstallDriverPackage C:\windows\System32\DriverStore\FileRepository\lmu03p40.inf_amd64_neutral_0e538b53f45f85d8\lmu03p40.inf
Package de pilotes Windows - MATRIX VISION GmbH (mvBlueFOX2) Image  (05/10/2012 1.0.4.5);05/10/2012 1.0.4.5;MATRIX VISION GmbH;rundll32.exe C:\PROGRA~1\DIFX\4C6E7BDDD10AA0EC\DIFxAppA.dll, DIFxARPUninstallDriverPackage C:\Windows\System32\DriverStore\FileRepository\amvbluefox2.inf_x86_neutral_a3a2ec47818d6e88\amvbluefox2.inf
Package de pilotes Windows - MATRIX VISION GmbH (mvBlueFOX2) Image  (05/10/2012 1.0.4.5);05/10/2012 1.0.4.5;MATRIX VISION GmbH;rundll32.exe C:\PROGRA~1\DIFX\ED00A7CB25A64AAB\DIFxAppA.dll, DIFxARPUninstallDriverPackage C:\Windows\System32\DriverStore\FileRepository\mvbluefox2.inf_amd64_neutral_03ca83668d7a871f\mvbluefox2.inf
Package de pilotes Windows - Medtronic CDM Driver Package (03/18/2011 2.08.14);03/18/2011 2.08.14;Medtronic;"""C:\PROGRA~1\DIFX\B4723E9A0713E5B1\ComLinkTelD_Install-32.exe"" /u C:\Windows\System32\DriverStore\FileRepository\medt_ftdibus.inf_x86_neutral_d7f5ca9171d9e682\medt_ftdibus.inf"
Package de pilotes Windows - Medtronic CDM Driver Package (03/18/2011 2.08.14);03/18/2011 2.08.14;Medtronic;"""C:\PROGRA~1\DIFX\F4092DA208C2C970\ComLinkTelD_Install-64.exe"" /u C:\windows\System32\DriverStore\FileRepository\medt_ftdibus.inf_amd64_neutral_d7f5ca9171d9e682\medt_ftdibus.inf"
Package de pilotes Windows - Product Image  (01/01/2010 3.0.1.2);01/01/2010 3.0.1.2;Product;"""C:\PROGRA~1\DIFX\4A7292F75FEBBD3C\DPInst64.exe"" /u C:\windows\System32\DriverStore\FileRepository\b7bu.inf_amd64_neutral_083c6f7edab7a17a\b7bu.inf"
Package de pilotes Windows - Product Image  (01/01/2010 3.0.1.2);01/01/2010 3.0.1.2;Product;"""C:\PROGRA~1\DIFX\4A7292F75FEBBD3C\DPInst64.exe"" /u C:\windows\System32\DriverStore\FileRepository\b7bu_x64.inf_amd64_neutral_1ae2de4c1d59d0c6\b7bu_x64.inf"
Package de pilotes Windows - Product Image  (04/21/2009 1.0.0.0);04/21/2009 1.0.0.0;Product;"""C:\PROGRA~1\DIFX\0169CE3A95F06636\DPInst64.exe"" /u C:\windows\System32\DriverStore\FileRepository\91au_x64.inf_amd64_neutral_a488b3e34f00eb42\91au_x64.inf"
Package de pilotes Windows - Product Image  (04/21/2009 1.0.1.1);04/21/2009 1.0.1.1;Product;"""C:\PROGRA~1\DIFX\0169CE3A95F06636\DPInst64.exe"" /u C:\windows\System32\DriverStore\FileRepository\91au.inf_amd64_neutral_d1319c840284ff55\91au.inf"
Package de pilotes Windows - Quantel Medical (Aviso) USB  (09/17/2013 2.0.0.0);09/17/2013 2.0.0.0;Quantel Medical;"""C:\PROGRA~1\DIFX\4A7292F75FEBBD3C\dpinst.exe"" /u C:\windows\System32\DriverStore\FileRepository\qmdriver.inf_amd64_neutral_4adecb39e8ab314c\qmdriver.inf"
Package de pilotes Windows - Realtek Semiconductor Corp. HD Audio Driver (06/19/2012 6.0.1.6662);06/19/2012 6.0.1.6662;Realtek Semiconductor Corp.;"""C:\PROGRA~1\DIFX\8730326CFC0D32D8\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\hdxlc.inf_amd64_neutral_364d137b169ad753\hdxlc.inf"
Package de pilotes Windows - Realtek Semiconductor Corp. HD Audio Driver (06/19/2012 6.0.1.6662);06/19/2012 6.0.1.6662;Realtek Semiconductor Corp.;"""C:\PROGRA~1\DIFX\8730326CFC0D32D8\DPInst.exe"" /u C:\Windows\System32\DriverStore\FileRepository\hdxrt.inf_amd64_neutral_13e8d09fcc94297a\hdxrt.inf"
Package de pilotes Windows - Silicon Laboratories (silabenm) Ports  (02/03/2010 5.4.29.0);02/03/2010 5.4.29.0;Silicon Laboratories;"""C:\PROGRA~1\DIFX\389029CB7202741B\DPInst_x64.exe"" /u C:\windows\System32\DriverStore\FileRepository\slabvcp.inf_amd64_neutral_8277e132fc418eb0\slabvcp.inf"
Package de pilotes Windows - Silicon Laboratories (silabenm) Ports  (10/18/2013 6.6.1.0);10/18/2013 6.6.1.0;Silicon Laboratories;"""C:\PROGRA~1\DIFX\4A7292F75FEBBD3C\CP210xVCPInstaller_x64.exe"" /u C:\windows\System32\DriverStore\FileRepository\slabvcp.inf_amd64_neutral_008196635f102727\slabvcp.inf"
Package de pilotes Windows - Silicon Laboratories Inc. (silabser) Ports  (05/23/2018 6.7.6.2130);05/23/2018 6.7.6.2130;Silicon Laboratories Inc.;"""C:\PROGRA~1\DIFX\9D9CD0E8B52007E4\CP210xVCPInstaller_x64.exe"" /u C:\windows\System32\DriverStore\FileRepository\slabvcp.inf_amd64_neutral_68f00fa9ebb8b3ef\slabvcp.inf"
Package de pilotes Windows - Silicon Laboratories Inc. (silabser) Ports  (11/20/2015 6.7.2.200);11/20/2015 6.7.2.200;Silicon Laboratories Inc.;"""C:\PROGRA~1\DIFX\1906BFFDB433498A\CP210xVCPInstaller_x86.exe"" /u C:\Windows\System32\DriverStore\FileRepository\slabvcp.inf_x86_neutral_0bae2245fca55739\slabvcp.inf"
Package de pilotes Windows - Silicon Laboratories Inc. (silabser) Ports  (11/30/2016 6.7.4.261);11/30/2016 6.7.4.261;Silicon Laboratories Inc.;"""C:\PROGRA~1\DIFX\647820B424DBAD0A\CP210xVCPInstaller_x86.exe"" /u C:\Windows\System32\DriverStore\FileRepository\slabvcp.inf_x86_neutral_0233317a3aed048f\slabvcp.inf"
Package de pilotes Windows - STMicroelectronics (STTub30) USB  (07/05/2012 3.0.4.0);07/05/2012 3.0.4.0;STMicroelectronics;"""C:\PROGRA~1\DIFX\277D1C50D2B49142\dpinst_x86.exe"" /u C:\Windows\System32\DriverStore\FileRepository\sttube.inf_x86_neutral_1ed7ed0b5d2ab381\sttube.inf"
Package de pilotes Windows - STMicroelectronics (STTub30) USB  (07/05/2012 3.0.4.0);07/05/2012 3.0.4.0;STMicroelectronics;"""C:\PROGRA~1\DIFX\4A7292F75FEBBD3C\dpinst_amd64.exe"" /u C:\windows\System32\DriverStore\FileRepository\sttube.inf_amd64_neutral_1ed7ed0b5d2ab381\sttube.inf"
PackElecBuilder.exe;;;"""C:\Program Files\Algotech\PackElecBuilder\unInstall_PackElecBuilder.exe"""
PaperStream Capture;1.5.1.6;PFU LIMITED;C:\windows\PaperStreamCaptureUninstall.exe
PaperStream IP (TWAIN x64);1.40.0.5555;PFU LIMITED;MsiExec.exe /qn /norestart /X{B46DA52E-846D-4C88-B597-4ED364084BCA}
PaperStream IP (TWAIN);1.40.0.5555;PFU LIMITED;MsiExec.exe /qn /norestart /X{E373B10E-9E42-4DCF-8E98-3A4B0B302AA4}
PARTNER AGILIA;7.0.1;Fresenius Vial;"""C:\Program Files\Fresenius Vial\PARTNER AGILIA\unins000.exe"" /SILENT"
PARTNER AGILIA;8.1.1;Fresenius Vial;"""C:\Program Files (x86)\Fresenius Vial\PARTNER AGILIA\unins000.exe"" /SILENT"
Password Vault;6.0.200.105;AuthenTec, Inc.;MsiExec.exe /qn /norestart /X{7DD99174-299B-4450-A179-7F27F4C2D042}
PatientOnLine Client;6.1.2.0;Fresenius Medical Care;"""C:\Program Files (x86)\InstallShield Installation Information\{34BFE25C-CA3A-4E30-80E7-48F1C267D8CA}\setup.exe"" -runfromtemp -l0x0009 -removeonly"
PatientOnline Reports;6.0.00;Fresenius Medical Care;MsiExec.exe /qn /norestart /X{4512C277-F4D2-4FA5-9494-BF3C323C5EEC}
PCIe to Peripheral Adaptor;;;C:\Windows\System32\MOSCHIP_StnUninst.exe
PCM3.0Agent;3.0.2014.0314;Lenovo;"""C:\Program Files (x86)\InstallShield Installation Information\{0B0551FD-A800-4FF5-8809-DFF53DC50815}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
PDF-XChange 3;;Tracker Software;"""C:\Program Files\Tracker Software\PDF-XChange 3\unins000.exe"" /SILENT"
PDFCreator;1.0.1;Frank Heindörfer, Philip Chinery;"""C:\Program Files (x86)\PDFCreator\unins000.exe"""
PDFCreator;1.0.1;Frank Heindörfer, Philip Chinery;"""C:\Program Files\PDFCreator\unins000.exe"""
PDFCreator;1.2.1;Frank Heindörfer, Philip Chinery;"""C:\Program Files (x86)\PDFCreator\unins000.exe"""
PDFCreator;1.2.1;Frank Heindörfer, Philip Chinery;"""C:\Program Files\PDFCreator\unins000.exe"""
PDFCreator;1.6.2;pdfforge;"""C:\Program Files (x86)\PDFCreator\unins000.exe"""
PDFCreator;1.6.2;pdfforge;"""C:\Program Files\PDFCreator\unins000.exe"""
PDFCreator;1.7.3;pdfforge;"""C:\Program Files\PDFCreator\unins000.exe"""
PDFCreator;2.3.0;pdfforge GmbH;"""C:\Program Files\PDFCreator\unins000.exe"""
PDFCreator;2.4.1;pdfforge GmbH;"""C:\Program Files\PDFCreator\unins000.exe"""
PDFCreator;2.5.1;pdfforge GmbH;"""C:\Program Files\PDFCreator\unins000.exe"""
PDFCreator;2.5.2;pdfforge GmbH;"""C:\Program Files\PDFCreator\unins000.exe"""
PDFCreator;3.2.0;pdfforge GmbH;"""C:\Program Files\PDFCreator\unins000.exe"""
PDFCreator;3.2.1;pdfforge GmbH;"""C:\Program Files\PDFCreator\unins000.exe"""
PDFCreator;3.2.2;pdfforge GmbH;"""C:\Program Files\PDFCreator\unins000.exe"""
PDQ Deploy;17.1.0.0;PDQ.com;MsiExec.exe /qn /norestart /X{4E27D66D-A49C-4B34-9638-854901FCD12B}
PDQ Inventory;15.1.0.0;PDQ.com;MsiExec.exe /qn /norestart /X{7A513947-6B61-49D3-BB99-3127E5B0350C}
PDQ Inventory;16.5.0.0;PDQ.com;MsiExec.exe /qn /norestart /X{1DC30A07-0A3D-4D56-B123-A747CB0393E8}
PDQ Inventory Agent;17.1.0.0;PDQ.com;MsiExec.exe /qn /norestart /X{E8E472F3-449C-47BC-90C2-63CB2B08ED9F}
PenMount Windows Universal Driver V2.2.0.283(Win7 32/64bit WHQL);2.2.0.283;PenMount;"""C:\Program Files (x86)\PenMount Windows Universal Driver\uninstall.exe"""
PenMount Windows Universal Driver V2.2.0.283(Win7 32/64bit WHQL);2.2.0.283;PenMount;"""C:\Program Files\PenMount Windows Universal Driver\uninstall.exe"""
People+Content IP;1.3.510;Polycom;"""C:\Program Files (x86)\InstallShield Installation Information\{2B639907-BE5A-44FC-BB6E-0DF466241015}\setup.exe"" -runfromtemp -l0x040c -removeonly"
People+Content IP;1.4.522;Polycom;"""C:\Program Files (x86)\InstallShield Installation Information\{2B639907-BE5A-44FC-BB6E-0DF466241015}\setup.exe"" -runfromtemp -l0x040c -removeonly"
Philips IntelliSpace Portal Client;9.3.26909.0;Philips Healthcare;"""C:\Program Files (x86)\Philips Intellispace Portal\Support\ClientUninstallBootstrapper.exe"" {D9361100-3E4E-47F2-A769-E2DAFA052CC5} {C83DC1C0-D57E-4601-92D9-5DD1506F3649} {158BBB59-04CF-463F-AE15-C73C4322CA77} {D55F2A8C-8D76-4973-8B6E-2BFC3140B258}"
Philips M3086A Support Tool L.00.02;1.0.1559.0;Philips Healthcare;MsiExec.exe /qn /norestart /X{3078BB58-FDCE-4124-9DAB-6EB0BA998FF3}
Philips M3086A Support Tool L.01.00;1.0.1574.0;Philips Healthcare;MsiExec.exe /qn /norestart /X{37D6A2AA-AB01-43A3-8FB3-5A61FEDDA590}
Phoenix;3.2.1020;CSO;MsiExec.exe /qn /norestart /X{70A5DFBE-A177-4C25-A285-924752225D89}
Phoenix;3.6.0061;CSO;MsiExec.exe /qn /norestart /X{C925F753-BCC1-4799-9608-51A347B65CB1}
PhoneRescue for SAMSUNG;3.4.1.0;iMobie Inc.;"""C:\Program Files (x86)\iMobie\PhoneRescue for SAMSUNG\uninstall.exe"""
PhotoFiltre 7;;;"""C:\Program Files (x86)\PhotoFiltre 7\Uninst.exe"""
PhotoStage - Créateur de diaporamas;6.13;NCH Software;"""C:\Program Files (x86)\NCH Software\PhotoStage\photostage.exe"" -uninstall"
PIA 2.0.0;2.0.0;ATNOS;"""C:\Program Files\PIA\Uninstall PIA.exe"" /allusers"
Picasa 3;3.9.141.259;Google, Inc.;"""C:\Program Files (x86)\Google\Picasa3\Uninstall.exe"""
Pilote Lecteur du logiciel OneTouch® v1.10.0.0;1.10.0.0;LifeScan;"""C:\Program Files\InstallShield Installation Information\{A2C173E1-FB29-4B31-8ED6-CBEE8025E00A}\setup.exe"" -runfromtemp -l0x040c"
PL-2303 USB-to-Serial;1.00.000;Prolific Technology INC;"""C:\Program Files (x86)\InstallShield Installation Information\{ECC3713C-08A4-40E3-95F1-7D0704F1CE5E}\setup.exe"" -runfromtemp -l0x0009 -removeonly"
PL-2303 USB-to-Serial;1.00.000;Prolific Technology INC;"""C:\Program Files\InstallShield Installation Information\{ECC3713C-08A4-40E3-95F1-7D0704F1CE5E}\setup.exe"" -runfromtemp -l0x0009 -removeonly"
PL-2303 USB-to-Serial;1.3.0;Prolific Technology INC;"""C:\Program Files\InstallShield Installation Information\{ECC3713C-08A4-40E3-95F1-7D0704F1CE5E}\setup.exe"" -runfromtemp -l0x0009 -removeonly"
PL-2303 USB-to-Serial;1.7.0;Prolific Technology INC;"""C:\Program Files (x86)\InstallShield Installation Information\{ECC3713C-08A4-40E3-95F1-7D0704F1CE5E}\setup.exe"" -runfromtemp -l0x0009 -removeonly"
PL-2303 USB-to-Serial;1.9.0;Prolific Technology INC;"""C:\Program Files (x86)\InstallShield Installation Information\{ECC3713C-08A4-40E3-95F1-7D0704F1CE5E}\setup.exe"" -runfromtemp -l0x0009 -removeonly"
PL2303 USB-to-Serial;1.20.00;Prolific Technology INC;"""C:\Program Files (x86)\InstallShield Installation Information\{ECC3713C-08A4-40E3-95F1-7D0704F1CE5E}\setup.exe"" -runfromtemp -l0x0009 -removeonly"
Plateforme SAP BusinessObjects BI 4.2 Outils client SP3;14.2.3.2132;SAP;"""C:\Program Files (x86)\SAP BusinessObjects\setup.exe"" -i product.businessobjectsclient-4.0-core-32"
Plugin KaliDoc 5.0;5.0;KaliTech;C:\KaliDoc\uninst.exe
Plugin KaliDoc 5.7a;5.7a;KaliTech;c:\KaliDoc\uninst.exe
Plugin KaliDoc 8.144;8.144;KaliTech;c:\KaliDoc\uninst.exe
Portal Client;9.3.26909.0;Philips;"""C:\ProgramData\Package Cache\{34b5120a-ab69-4f09-b3e7-684d002f265b}\Portal_Client.exe"" /uninstall /quiet"
PostgreSQL 9.1;9.1;PostgreSQL Global Development Group;C:\3si\PostgreSQL\9.1\uninstall-postgresql.exe
Power Manager;3.00.0014;Lenovo Group Limited;"""C:\Program Files (x86)\Lenovo\PowerMgr\unins000.exe"" /SILENT"
Power Manager;3.20.0008;Lenovo Group Limited;"""C:\Program Files (x86)\Lenovo\PowerMgr\unins000.exe"" /SILENT"
Power Manager;4.00.0008;Lenovo Group Limited;"""C:\Program Files (x86)\Lenovo\PowerMgr\unins000.exe"" /SILENT"
PREFACE;3.0.1.0;ATIH;MsiExec.exe /qn /norestart /X{13FA0848-D310-459F-ABE6-1B93F175F9B5}
PREFACE 2.9.0.0;2.9.0.0;ATIH;"""C:\Program Files (x86)\ATIH\MCO\PREFACE\uninst.exe"""
PREFACE LAMDA 2018.0.0.0;2018.0.0.0;ATIH;"""C:\Program Files (x86)\ATIH\MCO\PREFACE_LAMDA\uninst.exe"""
PREFACE SSR;2.2.0.2;ATIH;MsiExec.exe /qn /norestart /X{1BDE524F-51A0-497D-ABD9-56A73F90D9C5}
PREFACE SSR 2.0.0.0;2.0.0.0;ATIH;"""C:\Program Files (x86)\POP\SSR\PREFACE SSR\uninst.exe"""
Programme de désinstallation de Canon Generic Plus PCL6;6, 7, 2, 0;Canon Inc.;"""C:\Program Files\Canon\PrnUninstall\Canon Generic Plus PCL6\UNINSTAL.exe"""
ProgRes CapturePro v2.8.8.1 (remove only);2.8.8.1;;"""C:\Program Files (x86)\Jenoptik\ProgRes\ProgRes CapturePro v2.8.8\Uninstall.exe"""
psqlODBC;09.01.0100;PostgreSQL Global Development Group;MsiExec.exe /qn /norestart /X{838E187D-8B7A-473D-B93C-C8E970B15D2B}
PuTTY;0.67.0.0;Simon Tatham;MsiExec.exe /qn /norestart /X{ED9EF59B-0799-428E-823D-6D2B7B4FE2E0}
Python Launcher;3.7.6657.0;Python Software Foundation;MsiExec.exe /qn /norestart /X{A28C27E4-A725-482A-9C65-61EDC0E4D583}
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\046178\AppData\Local\Temp\is-JDVMD.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\046183\AppData\Local\Temp\is-S09V2.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\046183~1.ADC\AppData\Local\Temp\is-D95Q3.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\046545~1.002\AppData\Local\Temp\is-LT13B.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\046545~1.008\AppData\Local\Temp\is-ORA3G.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\047147~1.002\AppData\Local\Temp\is-B0GC3.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\047268\AppData\Local\Temp\is-NTMC6.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\047712\AppData\Local\Temp\is-AA9VJ.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\047712~1.001\AppData\Local\Temp\is-5TVDN.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\047712~1.ADC\AppData\Local\Temp\is-BT2J1.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048285~1.ADC\AppData\Local\Temp\is-FBRTC.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048367\AppData\Local\Temp\is-9RORJ.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048367\AppData\Local\Temp\is-V8GH4.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048658\AppData\Local\Temp\is-5RV1M.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048683\AppData\Local\Temp\is-VMFBN.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048784\AppData\Local\Temp\is-L1SRP.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048784\AppData\Local\Temp\is-PIJ2J.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048784\AppData\Local\Temp\is-T6SI2.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048803\AppData\Local\Temp\is-QBRMU.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048974\AppData\Local\Temp\is-V54ER.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048983\AppData\Local\Temp\is-5E14L.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048983\AppData\Local\Temp\is-ITAVN.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\048985\AppData\Local\Temp\is-25KIB.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
Pyxvital_1.40.13_install version 1.40.13;1.40.13;NGI Healthcare IT;"""C:\Users\049000\AppData\Local\Temp\is-2VA2E.tmp\Pyxvital_1.40.13_install\unins000.exe"" /SILENT"
